2026-09-03 19:45:34.197 -0400	START		Running FindAndReplace.script
2026-09-03 19:45:34.330 -0400	waitfor	NewTaskIcon	found at (21, 79)	1	on_findandreplace	FindAndReplace.script
2026-09-03 19:45:34.374 -0400	typetext		[controlKey]f	3	on_findandreplace	FindAndReplace.script
2026-09-03 19:45:34.377 -0400	set		SEARCHRECTANGLE = [3,105,249,555]	4	on_findandreplace	FindAndReplace.script
2026-09-03 19:45:42.658 -0400	click	(TEXT:"Replace")	at (119, 123)	5	on_findandreplace	FindAndReplace.script
2026-09-03 19:45:43.465 -0400	click	(TEXT:"Type text to find")	at (109, 196)	6	on_findandreplace	FindAndReplace.script
2026-09-03 19:45:43.855 -0400	typetext		Test Test[tab]	11	on_findandreplace	FindAndReplace.script
2026-09-03 19:45:44.614 -0400	click	(TEXT:"Type text to replace")	at (118, 262)	12	on_findandreplace	FindAndReplace.script
2026-09-03 19:45:44.844 -0400	typetext		     	13	on_findandreplace	FindAndReplace.script
2026-09-03 19:45:45.106 -0400	click	EmptyCheckbox	at (80, 337)	14	on_findandreplace	FindAndReplace.script
2026-09-03 19:45:45.412 -0400	click	ReplaceButton_Active	at (204, 299)	15	on_findandreplace	FindAndReplace.script
2026-09-03 19:45:45.737 -0400	click	FindText_X	at (213, 195)	16	on_findandreplace	FindAndReplace.script
2026-09-03 19:45:47.084 -0400	typetext		Salvatore Pacella, M.D., M.B.A, F.A.C.S.[tab]	11	on_findandreplace	FindAndReplace.script
2026-09-03 19:45:47.910 -0400	click	(TEXT:"Type text to replace")	at (118, 262)	12	on_findandreplace	FindAndReplace.script
2026-09-03 19:45:48.143 -0400	typetext		     	13	on_findandreplace	FindAndReplace.script
2026-09-03 19:45:48.390 -0400	click	EmptyCheckbox	at (80, 337)	14	on_findandreplace	FindAndReplace.script
2026-09-03 19:45:48.702 -0400	click	ReplaceButton_Active	at (204, 299)	15	on_findandreplace	FindAndReplace.script
2026-09-03 19:45:49.028 -0400	click	FindText_X	at (213, 195)	16	on_findandreplace	FindAndReplace.script
2026-09-03 19:45:50.497 -0400	typetext		Salvatore J. Pacella, M.D., M.B.A., F.A.C.S.[tab]	11	on_findandreplace	FindAndReplace.script
2026-09-03 19:45:51.289 -0400	click	(TEXT:"Type text to replace")	at (118, 262)	12	on_findandreplace	FindAndReplace.script
2026-09-03 19:45:51.521 -0400	typetext		     	13	on_findandreplace	FindAndReplace.script
2026-09-03 19:45:58.805 -0400	Exception	EmptyCheckbox	No Image Found On Screen: "EmptyCheckbox"	14	on_findandreplace	FindAndReplace.script
2026-09-03 19:45:58.916 -0400	EndTestCase		(Duration:"24.717", Errors:"1", Exceptions:"1", StartTime:"2026-09-03 19:45:34 -0400", Successes:"0", TestCase:"FindAndReplace.script", Warnings:"0")
2026-09-03 19:45:58.925 -0400	ABORTED		Execution Time 0:00:24 FindAndReplace.script
